Site,Treatment,Year,AgeMin,AgeMax,Sample,DollarsPaidLastMonth,DollarsSubsidy,FracFormal,FracSubsidy,DPVSubsidy,,,,
CTJF,C,1,0,18,1171,,1013,,36.4,,,,,
CTJF,T,1,0,18,1101,,1200,,44.3,,,CTJF,1082.75,1351.5
CTJF,C,2,0,18,1171,,1170,,32.6,,,FTP,94.3333333333333,200.25
CTJF,T,2,0,18,1101,,1476,,36.6,,,MFIP,857.666666666667,1089.66666666667
CTJF,C,3,0,18,1171,,1101,,30.8,,,,,
CTJF,T,3,0,18,1101,,1353,,36,,,,,
CTJF,C,4,0,18,1171,,1047,,29.7,,,,,
CTJF,T,4,0,18,1101,,1377,,32.6,,,,,
CTJF,C,3,0,18,1175,57.3,91.75,0.615565246561556,,,,,,
CTJF,T,3,0,18,1249,71,112.75,0.613605442176871,,,,,,
FTP,C,1,5,12,975,,,,22.5,,,,,
FTP,T,1,5,12,953,,,,56.2,,,,,
FTP,C,2,5,12,975,,,,20.8,,,,,
FTP,T,2,5,12,953,,,,46.8,,,,,
FTP,C,3,5,12,975,,,,15.2,,,,,
FTP,T,3,5,12,953,,,,27.9,,,,,
FTP,C,4,5,12,975,,,,6.9,,,,,
FTP,T,4,5,12,953,,,,7.8,,,,,
FTP,C,1,13,17,311,,,,5.5,,,,,
FTP,T,1,13,17,285,,,,21.1,,,,,
FTP,C,2,13,17,311,,,,4.9,,,,,
FTP,T,2,13,17,285,,,,12.2,,,,,
FTP,C,3,13,17,311,,,,1.5,,,,,
FTP,T,3,13,17,285,,,,4.6,,,,,
FTP,C,1,5,17,,,122,,,,,,,
FTP,T,1,5,17,,,341,,,,,,,
FTP,C,2,5,17,,,110,,,,,,,
FTP,T,2,5,17,,,329,,,,,,,
FTP,C,3,5,17,,,51,,,,,,,
FTP,T,3,5,17,,,90,,,,,,,
FTP,C,4,5,17,,,47,,,,,,,
FTP,T,4,5,17,,,41,,,,,,,
FTP,C,4,5,17,792,21,4.25,0.101190476190476,,,,,,
FTP,T,4,5,17,798,20,7.5,0.1875,,,,,,
MFIP,C,1-4,0,18,Full,,,,,2573,53.6041666666667,,,
MFIP,F,1-4,0,18,Full,,,,,3269,68.1041666666667,,,
