Site,Year,Arm,AgeMin,AgeMax,UseCare,Formal,N,Emp,SampleSizeImputed,,
NEWWS-A,2,0,3,5,43.3,19.4,290,38.3,TRUE,0.448036951501155,0.506527415143603
NEWWS-A,2,1,3,5,45.9,18.6,290,40.1,TRUE,0.405228758169935,0.463840399002494
NEWWS-G,2,0,3,5,48.8,10.4,197,52.5,TRUE,0.213114754098361,0.198095238095238
NEWWS-G,2,1,3,5,46,10.2,197,57.8,TRUE,0.221739130434783,0.176470588235294
NEWWS-R,2,0,3,5,38.9,8,246,36.6,TRUE,0.205655526992288,0.218579234972678
NEWWS-R,2,1,3,5,38,2.6,246,44.5,TRUE,0.068421052631579,0.058426966292135
CTJF,3,0,0,1,57.5,12.7,588,58,FALSE,0.220869565217391,0.218965517241379
CTJF,3,1,0,1,66.1,16.8,616,66.8,FALSE,0.254160363086233,0.251497005988024
CTJF,3,0,2,9,45.1,4.6,1339,58,FALSE,0.1019955654102,0.079310344827586
CTJF,3,1,2,9,55,8.3,1356,66.8,FALSE,0.150909090909091,0.124251497005988
CTJF,3,0,10,14,8.2,0.1,492,58,FALSE,0.01219512195122,0.001724137931034
CTJF,3,1,10,14,15.7,0.7,578,66.8,FALSE,0.044585987261147,0.010479041916168
FTP,4,0,0,0,41.2,13.3,325,59.8,FALSE,0.322815533980582,0.222408026755853
FTP,4,1,0,0,48.1,14.1,331,63.1,FALSE,0.293139293139293,0.223454833597464
FTP,4,0,1,8,35.2,9.6,1176,59.8,FALSE,0.272727272727273,0.160535117056856
FTP,4,1,1,8,39.6,11.3,1125,63.1,FALSE,0.285353535353535,0.179080824088748
FTP,4,0,9,13,10.8,0,374,59.8,FALSE,0,0
FTP,4,1,9,13,12.5,0.6,376,63.1,FALSE,0.048,0.009508716323296
LAGAIN,2,0,,,,,,,FALSE,#DIV/0!,#DIV/0!
LAGAIN,2,1,,,,,,,FALSE,#DIV/0!,#DIV/0!
MFIP-RA,3,0,,,,,,,FALSE,#DIV/0!,#DIV/0!
MFIP-RA,3,1,,,,,,,FALSE,#DIV/0!,#DIV/0!
MFIP-RA,3,2,,,,,,,FALSE,#DIV/0!,#DIV/0!
MFIP-LR,3,0,2,9,49.6,16,281,73.7,FALSE,0.32258064516129,0.217096336499322
MFIP-LR,3,1,2,9,44.3,17.8,306,85.3,FALSE,0.401805869074492,0.208675263774912
MFIP-LR,3,2,2,9,45.4,15.8,289,83.6,FALSE,0.348017621145374,0.188995215311005
